TC ID,Test Type,Test Case Name,Description,Action,Expected Result,Test Repository Path,Status,Components,User Story,Priority,Scenario Type
1,Manual,"TC01_Verify ZC 3676 Auto-Added to Umbrella When ZC 3339 Added to GL_Casualty_New Business_AC1","The objective of this test case is to validate that Exclusion - Designated Professional Services ZC 3676 is automatically added as a suggested exclusion in umbrella when ZC 3339 is present on GL","1. Initiate a Domestic submission with casualty LOB","1. User should be able to create a submission successfully","CAMS-2736 ZC 3339 and ZC 3676 Exclusion Auto-Application",Done,Casualty,CAMS-2736,High,Positive
1,,,,"2. Navigate to Line selection screen and select GL and Umbrella LOBs","2. User should be able to navigate to line selection screen and select both GL and Umbrella LOBs",,,,,,
1,,,,"3. Navigate to GL Exposures screen","3. User should be able to view the GL Exposures screen with all required fields",,,,,,
1,,,,"4. Add Exclusion - Designated Professional Services ZC 3339 to GL","4. User should be able to successfully add ZC 3339 exclusion to GL sub-line",,,,,,
1,,,,"5. Navigate to Umbrella sub-line screen","5. User should be able to view the Umbrella sub-line screen",,,,,,
1,,,,"6. Verify ZC 3676 suggested exclusion appears in Umbrella","6. User should see Exclusion - Designated Professional Services ZC 3676 displayed as a suggested exclusion in Umbrella",,,,,,
1,,,,"7. Verify ZC 3676 is linked to ZC 3339","7. User should verify that ZC 3676 is automatically linked to the ZC 3339 exclusion added in GL",,,,,,
2,Manual,"TC02_Verify ZC 3676 Auto-Added to Umbrella When Umbrella LOB Selected_Casualty_New Business_AC1","The objective of this test case is to validate that ZC 3676 is auto-added when umbrella is selected after ZC 3339 is added to GL","1. Initiate a Domestic submission with casualty LOB","1. User should be able to create a submission successfully","CAMS-2736 ZC 3339 and ZC 3676 Exclusion Auto-Application",Done,Casualty,CAMS-2736,High,Positive
2,,,,"2. Navigate to Line selection screen and select GL LOB only","2. User should be able to select GL LOB",,,,,,
2,,,,"3. Navigate to GL Exposures screen and add ZC 3339 exclusion","3. User should be able to add ZC 3339 exclusion to GL successfully",,,,,,
2,,,,"4. Return to Line selection screen and add Umbrella LOB","4. User should be able to add Umbrella LOB to the submission",,,,,,
2,,,,"5. Navigate to Umbrella sub-line screen","5. User should be able to view the Umbrella sub-line screen",,,,,,
2,,,,"6. Verify ZC 3676 suggested exclusion appears in Umbrella","6. User should see ZC 3676 displayed as a suggested exclusion automatically",,,,,,
3,Manual,"TC03_Verify Ability to Remove ZC 3676 from Umbrella_Casualty_New Business_AC2","The objective of this test case is to validate that user can remove ZC 3676 when it is already selected in umbrella","1. Initiate a Domestic submission with casualty LOB with GL and Umbrella selected","1. User should be able to create a submission successfully","CAMS-2736 ZC 3339 and ZC 3676 Exclusion Auto-Application",Done,Casualty,CAMS-2736,High,Positive
3,,,,"2. Navigate to GL Exposures screen and add ZC 3339 exclusion","2. User should be able to add ZC 3339 exclusion to GL",,,,,,
3,,,,"3. Navigate to Umbrella sub-line screen","3. User should be able to view ZC 3676 as a suggested exclusion in Umbrella",,,,,,
3,,,,"4. Verify ZC 3676 is displayed in the exclusions list","4. User should see ZC 3676 in the Umbrella exclusions list",,,,,,
3,,,,"5. Select the option to remove ZC 3676 from Umbrella","5. User should be able to remove ZC 3676 exclusion from Umbrella",,,,,,
3,,,,"6. Verify ZC 3676 is removed from Umbrella","6. User should confirm that ZC 3676 is no longer present in Umbrella exclusions",,,,,,
3,,,,"7. Verify removal does not impact GL exclusions","7. User should verify that ZC 3339 remains unchanged in GL",,,,,,
4,Manual,"TC04_Verify ZC 3676 Removal When ZC 3339 Removed from GL_Casualty_New Business_AC3","The objective of this test case is to validate that ZC 3676 is automatically removed from umbrella when ZC 3339 is removed from GL","1. Initiate a Domestic submission with casualty LOB with GL and Umbrella","1. User should be able to create a submission successfully","CAMS-2736 ZC 3339 and ZC 3676 Exclusion Auto-Application",Done,Casualty,CAMS-2736,High,Positive
4,,,,"2. Navigate to GL Exposures screen and add ZC 3339 exclusion","2. User should be able to add ZC 3339 exclusion to GL",,,,,,
4,,,,"3. Navigate to Umbrella sub-line screen and verify ZC 3676 is added","3. User should see ZC 3676 automatically added to Umbrella",,,,,,
4,,,,"4. Navigate back to GL Exposures screen","4. User should be able to navigate back to GL screen",,,,,,
4,,,,"5. Remove ZC 3339 exclusion from GL","5. User should be able to remove ZC 3339 exclusion successfully",,,,,,
4,,,,"6. Navigate to Umbrella sub-line screen","6. User should be able to navigate to Umbrella screen",,,,,,
4,,,,"7. Verify ZC 3676 is automatically removed from Umbrella","7. User should confirm that ZC 3676 is no longer present in Umbrella",,,,,,
5,Manual,"TC05_Verify VAL-559 Triggered for Duplicate Schedule Items_Casualty_New Business_AC4","The objective of this test case is to validate that VAL-559 is triggered when duplicate entries exist in schedule items between ZC 3339 and ZC 3676","1. Initiate a Domestic submission with casualty LOB with GL and Umbrella","1. User should be able to create a submission successfully","CAMS-2736 ZC 3339 and ZC 3676 Exclusion Auto-Application",Done,Casualty,CAMS-2736,High,Negative
5,,,,"2. Navigate to GL Exposures screen and add ZC 3339 with schedule items","2. User should be able to add ZC 3339 exclusion with schedule items to GL",,,,,,
5,,,,"3. Navigate to Umbrella sub-line screen and add duplicate schedule items to ZC 3676","3. User should be able to add ZC 3676 with duplicate schedule items in Umbrella",,,,,,
5,,,,"4. Fill all mandatory fields in all required screens","4. User should be able to complete all mandatory field entries",,,,,,
5,,,,"5. Click Price button","5. System should trigger VAL-559 validation error",,,,,,
5,,,,"6. Verify VAL-559 error message is displayed","6. User should see error message indicating duplicate entries in schedule items between ZC 3339 and ZC 3676",,,,,,
5,,,,"7. Verify pricing is blocked until duplicate items are resolved","7. User should not be able to proceed with pricing until duplicates are resolved",,,,,,
6,Manual,"TC06_Verify VAL-559 Triggered for Mismatched Schedule Item Count_Casualty_New Business_AC4","The objective of this test case is to validate that VAL-559 is triggered when schedule item counts mismatch between ZC 3339 and ZC 3676","1. Initiate a Domestic submission with casualty LOB with GL and Umbrella","1. User should be able to create a submission successfully","CAMS-2736 ZC 3339 and ZC 3676 Exclusion Auto-Application",Done,Casualty,CAMS-2736,High,Negative
6,,,,"2. Navigate to GL Exposures screen and add ZC 3339 with 5 schedule items","2. User should be able to add ZC 3339 exclusion with multiple schedule items to GL",,,,,,
6,,,,"3. Navigate to Umbrella sub-line screen and add ZC 3676 with 3 schedule items","3. User should be able to add ZC 3676 with different number of schedule items in Umbrella",,,,,,
6,,,,"4. Fill all mandatory fields in all required screens","4. User should be able to complete all mandatory field entries",,,,,,
6,,,,"5. Click Price button","5. System should trigger VAL-559 validation error",,,,,,
6,,,,"6. Verify VAL-559 error message is displayed for mismatched counts","6. User should see error message indicating mismatch in number of schedule items between ZC 3339 and ZC 3676",,,,,,
6,,,,"7. Verify pricing is blocked until counts are matched","7. User should not be able to proceed with pricing until schedule item counts are reconciled",,,,,,
7,Manual,"TC07_Verify UW-418 Triggered When ZC 3339 Present Without ZC 3676_Casualty_New Business_AC5","The objective of this test case is to validate that UW-418 is triggered when attempting to price with ZC 3339 in GL but without ZC 3676 in Umbrella","1. Initiate a Domestic submission with casualty LOB with GL and Umbrella","1. User should be able to create a submission successfully","CAMS-2736 ZC 3339 and ZC 3676 Exclusion Auto-Application",Done,Casualty,CAMS-2736,High,Negative
7,,,,"2. Navigate to GL Exposures screen and add ZC 3339 exclusion","2. User should be able to add ZC 3339 exclusion to GL",,,,,,
7,,,,"3. Navigate to Umbrella sub-line screen","3. User should be able to view the Umbrella sub-line screen",,,,,,
7,,,,"4. Verify ZC 3676 is displayed as a suggested exclusion","4. User should see ZC 3676 as a suggested exclusion",,,,,,
7,,,,"5. Manually remove ZC 3676 from Umbrella exclusions","5. User should be able to remove the suggested ZC 3676 exclusion",,,,,,
7,,,,"6. Fill all mandatory fields in all required screens","6. User should be able to complete all mandatory field entries",,,,,,
7,,,,"7. Click Price button","7. System should trigger UW-418 blocking error",,,,,,
7,,,,"8. Verify UW-418 error message is displayed","8. User should see error message UW-418 indicating that ZC 3676 is required in Umbrella when ZC 3339 is present in GL",,,,,,
7,,,,"9. Verify Quote button is disabled","9. User should not be able to proceed to Quote stage",,,,,,
8,Manual,"TC08_Verify UW-418 Not Triggered When Both Exclusions Present_Casualty_New Business_AC5","The objective of this test case is to validate that UW-418 is NOT triggered when both ZC 3339 and ZC 3676 are properly present","1. Initiate a Domestic submission with casualty LOB with GL and Umbrella","1. User should be able to create a submission successfully","CAMS-2736 ZC 3339 and ZC 3676 Exclusion Auto-Application",Done,Casualty,CAMS-2736,High,Positive
8,,,,"2. Navigate to GL Exposures screen and add ZC 3339 exclusion","2. User should be able to add ZC 3339 exclusion to GL",,,,,,
8,,,,"3. Navigate to Umbrella sub-line screen and verify ZC 3676 is auto-added","3. User should see ZC 3676 automatically added to Umbrella",,,,,,
8,,,,"4. Fill all mandatory fields in all required screens","4. User should be able to complete all mandatory field entries",,,,,,
8,,,,"5. Click Price button","5. System should process pricing without UW-418 error",,,,,,
8,,,,"6. Verify pricing is successful and UW-418 is not triggered","6. User should see pricing completed successfully without UW-418 blocking error",,,,,,
8,,,,"7. Click Quote button","7. User should be able to proceed to Quote stage",,,,,,
8,,,,"8. Verify quote document is generated successfully","8. User should see the quote document generated and displayed",,,,,,
9,Manual,"TC09_Verify Exclusion Auto-Application for Produced Scope_Casualty_New Business_AC1","The objective of this test case is to validate that ZC 3676 is auto-added in Produced scope when ZC 3339 is added to GL","1. Initiate a Produced submission with casualty LOB","1. User should be able to create a Produced submission successfully","CAMS-2736 ZC 3339 and ZC 3676 Exclusion Auto-Application",Done,Casualty,CAMS-2736,High,Positive
9,,,,"2. Navigate to Line selection screen and select GL and Umbrella LOBs","2. User should be able to select both GL and Umbrella LOBs for Produced scope",,,,,,
9,,,,"3. Navigate to GL Exposures screen and add ZC 3339 exclusion","3. User should be able to add ZC 3339 exclusion to GL in Produced scope",,,,,,
9,,,,"4. Navigate to Umbrella sub-line screen","4. User should be able to view the Umbrella sub-line screen",,,,,,
9,,,,"5. Verify ZC 3676 is auto-added as suggested exclusion","5. User should see ZC 3676 automatically added to Umbrella in Produced scope",,,,,,
10,Manual,"TC10_Verify Exclusion Consistency for Policy Change - Inception_Casualty_Policy Change - Inception_AC1","The objective of this test case is to validate that ZC 3676 is auto-added during Policy Change Inception when ZC 3339 is present","1. Load an existing policy with ZC 3339 in GL","1. User should be able to load the policy successfully","CAMS-2736 ZC 3339 and ZC 3676 Exclusion Auto-Application",Done,Casualty,CAMS-2736,High,Positive
10,,,,"2. Initiate a Policy Change - Inception transaction","2. User should be able to create a Policy Change - Inception transaction",,,,,,
10,,,,"3. Navigate to GL Exposures screen","3. User should be able to view the GL Exposures screen with existing ZC 3339",,,,,,
10,,,,"4. Navigate to Umbrella sub-line screen","4. User should be able to view the Umbrella sub-line screen",,,,,,
10,,,,"5. Verify ZC 3676 is auto-added to Umbrella","5. User should see ZC 3676 automatically added to Umbrella",,,,,,
10,,,,"6. Fill all mandatory fields and Price the policy","6. User should be able to price the policy successfully",,,,,,
10,,,,"7. Verify UW-418 is not triggered","7. User should not see UW-418 blocking error",,,,,,
11,Manual,"TC11_Verify Exclusion Consistency for Policy Change - Midterm_Casualty_Policy Change - Midterm_AC1","The objective of this test case is to validate that ZC 3676 is auto-added during Policy Change Midterm when ZC 3339 is present","1. Load an existing policy with ZC 3339 in GL","1. User should be able to load the policy successfully","CAMS-2736 ZC 3339 and ZC 3676 Exclusion Auto-Application",Done,Casualty,CAMS-2736,High,Positive
11,,,,"2. Initiate a Policy Change - Midterm transaction","2. User should be able to create a Policy Change - Midterm transaction",,,,,,
11,,,,"3. Navigate to GL Exposures screen","3. User should be able to view the GL Exposures screen with existing ZC 3339",,,,,,
11,,,,"4. Navigate to Umbrella sub-line screen","4. User should be able to view the Umbrella sub-line screen",,,,,,
11,,,,"5. Verify ZC 3676 is auto-added to Umbrella","5. User should see ZC 3676 automatically added to Umbrella",,,,,,
11,,,,"6. Fill all mandatory fields and Price the policy","6. User should be able to price the policy successfully",,,,,,
11,,,,"7. Verify UW-418 is not triggered","7. User should not see UW-418 blocking error",,,,,,
12,Manual,"TC12_Verify Exclusion Consistency for Policy Change - Out of Sequence_Casualty_Policy Change - Out of Sequence_AC1","The objective of this test case is to validate that ZC 3676 is auto-added during Policy Change Out of Sequence when ZC 3339 is present","1. Load an existing policy with ZC 3339 in GL","1. User should be able to load the policy successfully","CAMS-2736 ZC 3339 and ZC 3676 Exclusion Auto-Application",Done,Casualty,CAMS-2736,High,Positive
12,,,,"2. Initiate a Policy Change - Out of Sequence transaction","2. User should be able to create a Policy Change - Out of Sequence transaction",,,,,,
12,,,,"3. Navigate to GL Exposures screen","3. User should be able to view the GL Exposures screen with existing ZC 3339",,,,,,
12,,,,"4. Navigate to Umbrella sub-line screen","4. User should be able to view the Umbrella sub-line screen",,,,,,
12,,,,"5. Verify ZC 3676 is auto-added to Umbrella","5. User should see ZC 3676 automatically added to Umbrella",,,,,,
12,,,,"6. Fill all mandatory fields and Price the policy","6. User should be able to price the policy successfully",,,,,,
12,,,,"7. Verify UW-418 is not triggered","7. User should not see UW-418 blocking error",,,,,,
13,Manual,"TC13_Verify Exclusion Consistency for Policy Change - Preemption_Casualty_Policy Change - Preemption_AC1","The objective of this test case is to validate that ZC 3676 is auto-added during Policy Change Preemption when ZC 3339 is present","1. Load an existing policy with ZC 3339 in GL","1. User should be able to load the policy successfully","CAMS-2736 ZC 3339 and ZC 3676 Exclusion Auto-Application",Done,Casualty,CAMS-2736,High,Positive
13,,,,"2. Initiate a Policy Change - Preemption transaction","2. User should be able to create a Policy Change - Preemption transaction",,,,,,
13,,,,"3. Navigate to GL Exposures screen","3. User should be able to view the GL Exposures screen with existing ZC 3339",,,,,,
13,,,,"4. Navigate to Umbrella sub-line screen","4. User should be able to view the Umbrella sub-line screen",,,,,,
13,,,,"5. Verify ZC 3676 is auto-added to Umbrella","5. User should see ZC 3676 automatically added to Umbrella",,,,,,
13,,,,"6. Fill all mandatory fields and Price the policy","6. User should be able to price the policy successfully",,,,,,
13,,,,"7. Verify UW-418 is not triggered","7. User should not see UW-418 blocking error",,,,,,
14,Manual,"TC14_Verify Exclusion Consistency for Cancel - Flat_Casualty_Cancel - Flat_AC1","The objective of this test case is to validate that exclusion consistency is maintained during Cancel - Flat transaction","1. Load an existing policy with both ZC 3339 and ZC 3676","1. User should be able to load the policy successfully","CAMS-2736 ZC 3339 and ZC 3676 Exclusion Auto-Application",Done,Casualty,CAMS-2736,High,Positive
14,,,,"2. Initiate a Cancel - Flat transaction","2. User should be able to create a Cancel - Flat transaction",,,,,,
14,,,,"3. Navigate to GL Exposures screen","3. User should be able to view the GL Exposures screen with existing ZC 3339",,,,,,
14,,,,"4. Navigate to Umbrella sub-line screen","4. User should be able to view the Umbrella sub-line screen with existing ZC 3676",,,,,,
14,,,,"5. Verify exclusion consistency is maintained","5. User should see that ZC 3676 remains present and consistent with ZC 3339",,,,,,
14,,,,"6. Fill mandatory fields and Price the cancellation","6. User should be able to price the cancellation successfully",,,,,,
